story,sentence,word,pos,lemma,nchar
264,1,The,DT,the,3
264,1,constant,JJ,constant,8
264,1,hum,NN,hum,3
264,1,of,IN,of,2
264,1,the,DT,the,3
264,1,Toshiba,NP,toshiba,7
264,1,DM-707/40,CD,dm-707/40,9
264,1,fully,RB,fully,5
264,1,integrated,VBN,integrate,10
264,1,alarm-clock,NN,alarm-clock,11
264,1,mercilessly,RB,mercilessly,11
264,1,ended,VBD,end,5
264,1,Ed,NP,ed,2
264,1,'s,POS,'s,2
264,1,sleep,NN,sleep,5
264,1,.,SENT,.,1
264,2,Rolling,VBG,roll,7
264,2,over,RP,over,4
264,2,to,TO,to,2
264,2,the,DT,the,3
264,2,side,NN,side,4
264,2,",",",",",",1
264,2,Ed,NP,ed,2
264,2,uttered,VBD,utter,7
264,2,a,DT,a,1
264,2,plaintive,JJ,plaintive,9
264,2,sound,NN,sound,5
264,2,bearing,VBG,bear,7
264,2,a,DT,a,1
264,2,remote,JJ,remote,6
264,2,resemblance,NN,resemblance,11
264,2,to,TO,to,2
264,2,the,DT,the,3
264,2,American,JJ,american,8
264,2,equivalent,NN,equivalent,10
264,2,of,IN,of,2
264,2,``,``,``,2
264,2,yes,UH,yes,3
264,2,'','','',2
264,2,.,SENT,.,1
264,3,The,DT,the,3
264,3,Toshiba,NP,toshiba,7
264,3,alarm-clock,NN,alarm-clock,11
264,3,decreased,VBD,decrease,9
264,3,the,DT,the,3
264,3,volume,NN,volume,6
264,3,of,IN,of,2
264,3,the,DT,the,3
264,3,hum,NN,hum,3
264,3,and,CC,and,3
264,3,projected,VBD,project,9
264,3,a,DT,a,1
264,3,bunch,NN,bunch,5
264,3,of,IN,of,2
264,3,figures,NNS,figure,7
264,3,on,IN,on,2
264,3,the,DT,the,3
264,3,ceiling,NN,ceiling,7
264,3,.,SENT,.,1
264,4,At,IN,at,2
264,4,the,DT,the,3
264,4,same,JJ,same,4
264,4,time,NN,time,4
264,4,",",",",",",1
264,4,a,DT,a,1
264,4,clear,JJ,clear,5
264,4,female,JJ,female,6
264,4,voice,NN,voice,5
264,4,said,VBD,say,4
264,4,:,:,:,1
264,5,``,``,``,2
264,5,Good,JJ,good,4
264,5,morning,NN,morning,7
264,5,.,SENT,.,1
264,6,It,PP,it,2
264,6,is,VBZ,be,2
264,6,06:15,CD,06:15,5
264,6,a.m.,NN,a.m.,4
264,6,",",",",",",1
264,6,Friday,NP,friday,6
264,6,",",",",",",1
264,6,Nolan,NP,nolan,5
264,6,17,CD,17,2
264,6,",",",",",",1
264,6,2019,CD,2019,4
264,6,AD,NN,ad,2
264,6,'','','',2
264,6,(,(,(,1
264,6,some,DT,some,4
264,6,months,NNS,month,6
264,6,had,VBD,have,3
264,6,been,VBN,be,4
264,6,renamed,VBN,rename,7
264,6,after,IN,after,5
264,6,the,DT,the,3
264,6,Presidents,NNS,president,10
264,6,of,IN,of,2
264,6,the,DT,the,3
264,6,United,NP,united,6
264,6,Continents,NNS,continent,10
