satisfactiontexts,harmonytexts,harmonywords,satisfactionwords,hilstotal,swlstotal,age,gender
"I am not satisfied with my life. I am grateful for what I do have and where I am because the situation can always be worse.  I want a career and a degree, I want to loose weight and I haven't met these goals yet. So I am not satisfied with my life right now.  I feel I can achieve more.",I am not in harmony in my life as much as I would like to be.  I would like to be more peaceful and more productive.  I want to have a balanced life.  I would like to spend more time with my family and be  more focused on my goals and where I want to be in life and what I want to achieve.,doubt anxious worried fearful distant disconnected private quiet observant questionable,eager pensive unsatisfied hungry ambitious driven focused desiring restless longing,9,5,33,male
I am definitely pretty satisfied right now. Went though several months of being highly disappointing when I was unemployed and now that I'm working I'm very satisfied in knowing I can help with my family's burden. I'm satisfied with my journey in Yoga and incorporating what i've learned in this now busy life. I'm satisfied knowing I can provide and feel that ease knowing I can take care of my child.,I am more in Harmony now then I was last week because I finally have gotten a new job and have settled into it. I feel at ease and comfortable knowing that I can help with bills and make an income. My obsessive thoughts about money have subsided and now I feel more at peace with my life. I feel less worry so that I can meditate and do yoga to prepare myself for hard work again and be at peace with interacting with new people and authority again.,transcendent surrender ease peaceful heartfelt loved warm strong comfortable,content anticipation hopeful excited relieved ease controlled focuses energized ready,26,15,31,male
i am very much satisfied. I am happily learning and doing the things i want to do with my life. I am doing well in that field.,i feel like i am in harmony with life. I seem to be well connected to the people around me. I feel like my connections have been stronger than ever. I am doing well and am successful,mindful connected proud enamoured one communion together entwined grounded open,loved healthy hopeful happy successful satisfied humoured educated privileged full,30,29,20,female
I feel lost. I don't know what I'm doing to do anymore. I'm unsure about my choices and whether or not they will take me down the right path. I don't know if I can be happy and find my place and purpose in this world.,"My thoughts feel scattered, contrived, and contradictory. Nothing in my life makes sense together anymore. I feel like I'm trying to put a puzzle together, but all the pieces come from different sets.",accepting discombobulated scattered rattled unsure unsatisfied anxious nervous sad,lonely lost unsure nervous anxious selfconscious sad down questioning alone,15,10,20,male
"In general I am very satisfied. I would benefit from more finical security, because it is currently difficult to pay all of my bills while I am a full-time student. Even though I have some money concerns my basic needs are taken care of and life is very satisfying. I have plenty of time to enjoy life and spend all the quality time with my wife and dogs so there's not much to complain about. I have love and my basic needs are met so I'm satisfied.","In general I am in harmony. Because my financial needs are not exactly met and my health is somewhat strained, I find it difficult to say I am in harmony. I could use more health, less pain, and more money to feel like I truly have a balanced life. Over all my disharmony is a temporary effect of a long term success (being in school full time), and my health is not terminal so I can take grate solace in knowing that one day my circumstances will change and things have the potential to be more harmonious.",love cherished security home dogs plentiful safety present gratitude support,satiated saturated accepted included comfortable comfort secure security happy pleased,25,29,30,male
"I'm satisfied due to various positive aspects within my life.  I feel good about myself if I know I tried my hardest and attempted everything possible within my power.  To determine if i'm satisfied or not, there is a standard that is set and if not met, will disappoint me.","I believe i'm in harmony because of various aspects in my life.  First, I feel like it's good to be rationale and perspective within yourself and your surroundings.  If you have a good sense of the things around you, you can make a good judgement if you're in harmony or not.",perspective intelligent awareness value growth learning composure rational decisive loving,complete fullness satiate incomplete happy accomplished disappointed satisfactory discouraged elated,30,26,24,female
"Yes, overall I am satisfied with my life.  Many Ups and downs, mostly downs, but that is how you get over the the downs and go up!I have no money, but I am ok with it.  I have enough to eat and drink.No money to pay all the bills, but oh well.  Had major accident and have been housebound since July, and just starting to improve enough to sit at computer.  I am satisfied, because it could have been much worse, since I had renal failure, I could of ended up on dialysis, which I avoided.  I could have lost my leg, but instead, still working on walking.  But I can walk, slowly, but better than not. I am satisfied with what I have, no complaints.","Being in harmony with nature is important to me.  I love watching the birds, and any other living creature roaming about.  I love the everything that grows, and there is a purpose for everything. I feel peace while near the ocean, or on a boat.  I feel at peace and in harmony while in the back yard, watching all the plants, trees, flowers, and weeds grow.  It is sad that so many people don't care about nature.",peace love special nature colour universe animals birds environment mankind,family dogs home hobbies yard food imagination neighbours trees country,30,24,63,male
I am very satisfied in my life. I have gotten all the things that I have set out to do. I found my soul mate and we are happily married. I have my dream job that I enjoy going to Monday through Friday. I have enough money to live and some many to play with. I am very pleased with my life.,My life is in harmony. I have a balanced work life. My work stays at work. I never bring it home. My home life does not interfere with work. On the weekends I am able to have fun and let lose without worrying about work.,happiness balance fairness effortless melodic peace logical great good positive,happy content great good satisfaction whole full fulfilled awesome felicity,35,35,30,male
"I am completely satisfied with my life both at home and professionally. I am thrilled as each day comes and really do not have any regrets. I feel confident, have a lot of self esteem and look forward to the future. In essence, I am loving life.","The most important things in my life are my kids and my wife. These areas make me feel very good and rewarding. I feel wanted, loved and cherished all the time. I never have a complaint and enjoy each and everyday.",loved cherished desired partnered passionate amazed wanted needed thoughtful overwhelmed,happy exciting thrilled loved fun silly humerus confident safe smart,35,34,45,female
I am satisfied but I can't say fully yet.  There are still things that I want to accomplish and life situations that I have not yet experienced to make my life feel great.  I am satisfied that I have found the most important thing in life and that is my spiritual relationship with God.  That is the most important thing in life.  I want more close friends and possibly marriage and then I will again feel life is satisfying.,"I would say I am in harmony because I have learned a lot in life.  When I was in my twenties I did not have this wisdom.  I was less calm.  Now due to all I have learned; not just book knowledge but life knowledge I am at peace.  I know why I feel the way I do.  I appreciate the small things such as other people, nature, God and I realize that it is wisdom to put the small things in life first.",Peaceful Knowledge Wisdom Intelligence Growth Trust Loyalty Nature Love Spiritual,Knowledge Wisdom Life Trust Loyalty Intelligence Spiritual Life God Peace Nature,30,21,54,male
